DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-04-14,15:30:00,6814,3946000000,125.2,1438.89,,0.551,8512000000,-4553000000,-850000000
2021-07-14,15:30:00,6814,1038000000,32.93,1476.86,25.0,0.54,,,
2021-09-22,15:30:00,6814,,,,40.0,,,,
2021-10-14,15:30:00,6814,2844000000,90.22,1547.09,40.0,0.566,6556000000,-2151000000,-1470000000
2022-01-14,15:30:00,6814,2270000000,71.99,1475.57,40.0,0.529,,,
2022-03-25,15:30:00,6814,,,,,,,,
2022-04-14,15:30:00,6814,2814000000,89.24,1518.02,,0.557,6193000000,-4389000000,-3518000000
2022-07-14,15:30:00,6814,486000000,15.42,1578.39,20.0,0.548,,,
2022-10-07,15:30:00,6814,,,,,,,,
2022-10-14,15:30:00,6814,1537000000,48.74,1663.91,25.0,0.553,-2628000000,-1482000000,893000000
2022-10-14,15:30:00,6814,,,,25.0,,,,
2023-01-16,15:30:00,6814,1276000000,40.47,1671.9,25.0,0.511,,,
2023-04-14,15:30:00,6814,1348000000,42.72,1651.04,,0.49,-6492000000,-3027000000,8263000000
2023-07-14,15:30:00,6814,,,,25.0,,,,
2023-07-14,15:30:00,6814,1141000000,36.17,1680.95,25.0,0.501,,,
2023-10-12,16:45:00,6814,,,,,,,,
2023-10-16,15:30:00,6814,,,,45.0,,,,
2023-10-16,15:30:00,6814,3280000000,103.92,1820.29,45.0,0.522,574000000,-1154000000,-3127000000
2024-01-15,15:30:00,6814,6129000000,194.11,1916.85,45.0,0.531,,,
2024-04-15,15:30:00,6814,6238000000,197.56,1932.33,,0.534,2713000000,-3589000000,-3557000000
2024-07-16,15:30:00,6814,1280000000,40.54,1979.78,40.0,0.55,,,
2024-10-15,15:30:00,6814,5067000000,160.42,2159.02,75.0,0.577,5017000000,-2091000000,-3706000000
2025-01-14,15:30:00,6814,8538000000,270.25,2144.42,90.0,0.577,,,
2025-04-09,15:30:00,6814,11457000000,362.64,2284.52,,0.584,10820000000,-4588000000,-2696000000
2025-07-09,15:30:00,6814,3531000000,111.75,2295.56,110.0,0.585,,,
2025-10-10,15:30:00,6814,10190000000,322.48,2526.35,150.0,0.627,8506000000,-334000000,-6337000000
2025-10-03,15:30:00,6814,,,,,,,,
2026-01-09,15:30:00,6814,13310000000,421.17,2594.99,150.0,0.624,,,
