DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-14,15:15:00,5911,11289000000,273.09,2451.96,,0.596,195000000,-5985000000,2619000000
2021-07-28,15:00:00,5911,3075000000,74.55,2458.81,60.0,0.612,,,
2021-10-22,15:00:00,5911,,,,,,,,
2021-10-27,15:00:00,5911,4925000000,119.37,2522.67,70.0,0.631,15639000000,-1260000000,-8323000000
2021-10-27,15:00:00,5911,,,,70.0,,,,
2022-01-31,15:00:00,5911,7445000000,180.43,2531.68,70.0,0.639,,,
2022-05-13,16:00:00,5911,11043000000,267.54,2608.54,,0.625,17074000000,-3474000000,-9779000000
2022-07-28,15:00:00,5911,1670000000,40.43,2594.21,80.0,0.62,,,
2022-10-25,15:00:00,5911,,,,,,,,
2022-10-31,15:00:00,5911,3426000000,82.96,2640.22,80.0,0.621,-3768000000,-789000000,785000000
2023-01-30,15:00:00,5911,6709000000,162.85,2679.53,80.0,0.6,,,
2023-05-15,15:00:00,5911,11243000000,273.36,2794.45,,0.588,-4350000000,-1844000000,7850000000
2023-07-31,15:00:00,5911,2846000000,69.59,2845.28,90.0,0.606,,,
2023-10-25,15:00:00,5911,,,,,,,,
2023-10-30,15:00:00,5911,5855000000,143.26,2927.22,90.0,0.618,8345000000,443000000,-7947000000
2024-01-29,15:00:00,5911,9794000000,240.2,2969.69,95.0,0.592,,,
2024-05-13,15:00:00,5911,11854000000,291.16,3056.65,,0.59,-1637000000,-972000000,2516000000
2024-07-29,15:00:00,5911,1282000000,31.5,3035.84,110.0,0.598,,,
2024-10-23,15:00:00,5911,,,,,,,,
2024-10-29,15:00:00,5911,3532000000,86.79,3064.21,110.0,0.617,2752000000,-279000000,-5005000000
2025-01-29,15:30:00,5911,6708000000,164.9,3086.73,110.0,0.587,,,
2025-04-24,15:30:00,5911,,,,,,,,
2025-05-14,15:30:00,5911,12859000000,317.02,3229.02,,0.597,-2171000000,-1975000000,-3701000000
2025-07-28,15:30:00,5911,732000000,18.3,3220.29,120.0,0.613,,,
2025-10-29,15:30:00,5911,2991000000,74.81,3302.17,120.0,0.635,15212000000,-3103000000,-8729000000
2026-02-02,15:30:00,5911,5896000000,147.82,3351.81,120.0,0.641,,,
