DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-03-22,15:00:00,5714,,,,,,,,
2021-05-14,15:30:00,5714,21824000000,368.45,4465.44,,0.444,-3088000000,-22943000000,11585000000
2021-05-14,15:30:00,5714,,,,,,,,
2021-05-14,15:30:00,5714,,,,95.0,,,,
2021-08-06,15:00:00,5714,19946000000,335.22,,95.0,0.438,,,
2021-11-12,15:00:00,5714,32597000000,547.84,,95.0,0.481,15764000000,2991000000,-3581000000
2022-02-14,15:00:00,5714,44103000000,741.21,,130.0,0.489,,,
2022-05-13,16:00:00,5714,51012000000,857.32,5267.94,,0.477,59911000000,-11339000000,-31190000000
2022-08-10,15:00:00,5714,13063000000,219.55,,105.0,0.497,,,
2022-11-11,15:00:00,5714,22736000000,382.06,,105.0,0.517,26132000000,-16080000000,-2871000000
2023-02-10,15:00:00,5714,27271000000,458.25,,105.0,0.525,,,
2023-05-12,15:30:00,5714,25041000000,420.76,5794.63,,0.526,50725000000,-30343000000,-19758000000
2023-08-09,15:00:00,5714,7853000000,131.95,,110.0,0.549,,,
2023-11-10,15:00:00,5714,13185000000,221.52,,110.0,0.568,93088000000,-16823000000,-42300000000
2024-02-09,15:00:00,5714,24020000000,403.52,,130.0,0.598,,,
2024-04-25,16:00:00,5714,,,,,,,,
2024-05-10,15:30:00,5714,27853000000,467.9,6264.96,,0.589,118630000000,-26261000000,-59204000000
2024-08-09,15:00:00,5714,11781000000,197.89,,130.0,0.572,,,
2024-11-11,15:00:00,5714,20520000000,344.65,,130.0,0.589,-3054000000,-14571000000,-15825000000
2025-02-12,15:00:00,5714,23792000000,399.58,,150.0,0.576,,,
2025-05-13,15:00:00,5714,27128000000,455.6,6690.29,,0.592,12827000000,-41418000000,-4120000000
2025-08-08,15:00:00,5714,6401000000,107.5,,159.0,0.603,,,
2025-11-12,15:00:00,5714,13625000000,228.79,,183.0,0.585,19317000000,-12140000000,-6370000000
2026-02-10,15:30:00,5714,18572000000,311.85,,318.0,0.523,,,
